"Year","Cancer_code","Cancer_name","Sex_code","Sex_name","SA2_code","SA2_name","p025","p10","p50","p90","p975","Prob"
"2005-2014",11,"Oesophageal",1,"Males",11001,"Goulburn",0.74,0.85,1.11,1.44,1.65,0.389
"2005-2014",11,"Oesophageal",1,"Males",11002,"Goulburn Region",0.91,0.97,1.09,1.23,1.31,0.65
"2005-2014",11,"Oesophageal",1,"Males",11003,"Yass",0.55,0.67,0.96,1.34,1.6,0.135
"2005-2014",11,"Oesophageal",1,"Males",11004,"Yass Region",0.85,0.91,1.03,1.17,1.26,0.269
"2005-2014",11,"Oesophageal",1,"Males",11005,"Young",0.75,0.88,1.21,1.65,1.92,0.569
"2005-2014",11,"Oesophageal",1,"Males",11006,"Young Region",1.01,1.09,1.27,1.48,1.62,0.957
"2005-2014",11,"Oesophageal",1,"Males",11007,"Braidwood",0.79,0.87,1.03,1.22,1.33,0.18
"2005-2014",11,"Oesophageal",1,"Males",11008,"Karabar",0.87,0.97,1.2,1.49,1.68,0.72
"2005-2014",11,"Oesophageal",1,"Males",11009,"Queanbeyan",1.01,1.12,1.37,1.7,1.89,0.956
"2005-2014",11,"Oesophageal",1,"Males",11010,"Queanbeyan - East",0.83,0.92,1.12,1.35,1.51,0.547
"2005-2014",11,"Oesophageal",1,"Males",11011,"Queanbeyan Region",0.84,0.9,1.03,1.17,1.26,0.209
"2005-2014",11,"Oesophageal",1,"Males",11012,"Queanbeyan West - Jerrabomberra",0.81,0.9,1.1,1.35,1.5,0.469
"2005-2014",11,"Oesophageal",1,"Males",11013,"Bombala",0.77,0.86,1.05,1.28,1.42,0.237
"2005-2014",11,"Oesophageal",1,"Males",11014,"Cooma",0.71,0.85,1.19,1.65,1.93,0.49
"2005-2014",11,"Oesophageal",1,"Males",11015,"Cooma Region",0.83,0.9,1.05,1.22,1.33,0.325
"2005-2014",11,"Oesophageal",1,"Males",11016,"Jindabyne - Berridale",0.73,0.82,1.01,1.25,1.39,0.063
"2005-2014",11,"Oesophageal",1,"Males",11017,"Batemans Bay",0.65,0.76,1.01,1.33,1.54,0.05
"2005-2014",11,"Oesophageal",1,"Males",11018,"Batemans Bay - South",0.61,0.7,0.9,1.15,1.31,0.4
"2005-2014",11,"Oesophageal",1,"Males",11019,"Bega - Tathra",0.84,0.98,1.29,1.7,1.97,0.758
"2005-2014",11,"Oesophageal",1,"Males",11020,"Bega-Eden Hinterland",0.81,0.9,1.08,1.3,1.44,0.41
"2005-2014",11,"Oesophageal",1,"Males",11021,"Broulee - Tomakin",0.6,0.7,0.91,1.19,1.36,0.355
"2005-2014",11,"Oesophageal",1,"Males",11022,"Deua - Wadbilliga",0.8,0.88,1.06,1.28,1.41,0.323
"2005-2014",11,"Oesophageal",1,"Males",11023,"Eden",0.77,0.9,1.21,1.64,1.9,0.592
"2005-2014",11,"Oesophageal",1,"Males",11024,"Eurobodalla Hinterland",0.76,0.83,0.99,1.17,1.28,0.045
"2005-2014",11,"Oesophageal",1,"Males",11025,"Merimbula - Tura Beach",0.75,0.87,1.11,1.42,1.6,0.422
"2005-2014",11,"Oesophageal",1,"Males",11026,"Moruya - Tuross Head",0.58,0.68,0.91,1.2,1.38,0.333
"2005-2014",11,"Oesophageal",1,"Males",11027,"Narooma - Bermagui",0.86,0.96,1.19,1.48,1.66,0.689
"2005-2014",11,"Oesophageal",1,"Males",11028,"Avoca Beach - Copacabana",0.64,0.74,0.96,1.24,1.41,0.167
"2005-2014",11,"Oesophageal",1,"Males",11029,"Box Head - MacMasters Beach",0.76,0.85,1.06,1.3,1.45,0.253
"2005-2014",11,"Oesophageal",1,"Males",11030,"Calga - Kulnura",0.81,0.87,1,1.14,1.23,0.029
"2005-2014",11,"Oesophageal",1,"Males",11031,"Erina - Green Point",0.76,0.83,0.98,1.16,1.27,0.109
"2005-2014",11,"Oesophageal",1,"Males",11032,"Gosford - Springfield",0.8,0.89,1.06,1.27,1.41,0.339
"2005-2014",11,"Oesophageal",1,"Males",11033,"Kariong",0.76,0.86,1.06,1.33,1.5,0.285
"2005-2014",11,"Oesophageal",1,"Males",11034,"Kincumber - Picketts Valley",0.73,0.82,1.01,1.24,1.39,0.043
"2005-2014",11,"Oesophageal",1,"Males",11035,"Narara",0.72,0.81,1.01,1.25,1.4,0.045
"2005-2014",11,"Oesophageal",1,"Males",11036,"Niagara Park - Lisarow",0.72,0.8,0.96,1.16,1.28,0.199
"2005-2014",11,"Oesophageal",1,"Males",11037,"Point Clare - Koolewong",0.79,0.9,1.14,1.45,1.67,0.533
"2005-2014",11,"Oesophageal",1,"Males",11038,"Saratoga - Davistown",0.72,0.84,1.11,1.45,1.68,0.372
"2005-2014",11,"Oesophageal",1,"Males",11039,"Terrigal - North Avoca",0.7,0.78,0.98,1.21,1.35,0.105
"2005-2014",11,"Oesophageal",1,"Males",11040,"Umina - Booker Bay - Patonga",0.73,0.82,1,1.22,1.35,0.007
"2005-2014",11,"Oesophageal",1,"Males",11041,"Wamberal - Forresters Beach",0.7,0.78,0.97,1.2,1.35,0.135
"2005-2014",11,"Oesophageal",1,"Males",11042,"Woy Woy - Blackwall",0.81,0.89,1.08,1.3,1.44,0.377
"2005-2014",11,"Oesophageal",1,"Males",11043,"Wyoming",0.71,0.8,0.98,1.21,1.36,0.076
"2005-2014",11,"Oesophageal",1,"Males",11044,"Bateau Bay - Killarney Vale",0.84,0.94,1.16,1.43,1.59,0.623
"2005-2014",11,"Oesophageal",1,"Males",11045,"Blue Haven - San Remo",0.81,0.89,1.07,1.29,1.42,0.373
"2005-2014",11,"Oesophageal",1,"Males",11046,"Budgewoi - Buff Point - Halekulani",0.79,0.9,1.12,1.42,1.6,0.503
"2005-2014",11,"Oesophageal",1,"Males",11047,"Chittaway Bay - Tumbi Umbi",0.73,0.81,0.97,1.16,1.27,0.169
"2005-2014",11,"Oesophageal",1,"Males",11048,"Gorokan - Kanwal - Charmhaven",0.76,0.85,1.06,1.32,1.47,0.264
"2005-2014",11,"Oesophageal",1,"Males",11049,"Jilliby - Yarramalong",0.79,0.86,1.02,1.2,1.32,0.13
"2005-2014",11,"Oesophageal",1,"Males",11050,"Lake Munmorah - Mannering Park",0.66,0.74,0.91,1.13,1.26,0.428
"2005-2014",11,"Oesophageal",1,"Males",11051,"Ourimbah - Fountaindale",0.72,0.8,0.98,1.19,1.31,0.107
"2005-2014",11,"Oesophageal",1,"Males",11052,"Summerland Point - Gwandalan",0.41,0.51,0.76,1.08,1.31,0.664
"2005-2014",11,"Oesophageal",1,"Males",11053,"The Entrance",0.93,1.06,1.36,1.74,1.96,0.89
"2005-2014",11,"Oesophageal",1,"Males",11054,"Toukley - Norah Head",0.88,1,1.3,1.68,1.91,0.802
"2005-2014",11,"Oesophageal",1,"Males",11055,"Tuggerah - Kangy Angy",0.7,0.8,0.99,1.23,1.38,0.049
"2005-2014",11,"Oesophageal",1,"Males",11056,"Warnervale - Wadalba",0.81,0.92,1.14,1.41,1.6,0.559
"2005-2014",11,"Oesophageal",1,"Males",11057,"Wyong",0.78,0.88,1.09,1.36,1.52,0.398
"2005-2014",11,"Oesophageal",1,"Males",11058,"Bathurst",0.65,0.75,0.97,1.24,1.42,0.121
"2005-2014",11,"Oesophageal",1,"Males",11059,"Bathurst - East",0.67,0.78,1.03,1.36,1.56,0.122
"2005-2014",11,"Oesophageal",1,"Males",11060,"Bathurst Region",0.87,0.94,1.08,1.25,1.35,0.507
