mpg,cyl,disp,hp,drat,wt,qsec,vs,am,gear,carb,.resid,.fitted
21,6,160,110,3.9,2.62,16.46,0,1,4,4,-1.5937499517505058,22.593749951750507
21,6,160,110,3.9,2.875,17.02,0,1,4,4,-1.5937499517504954,22.593749951750496
22.8,4,108,93,3.85,2.32,18.61,1,1,4,1,-0.9536306789670719,23.753630678967074
21.4,6,258,110,3.08,3.215,19.44,1,0,3,1,-1.1937499517504921,22.59374995175049
18.7,8,360,175,3.15,3.44,17.02,0,0,3,2,0.5410881229011469,18.158911877098852
18.1,6,225,105,2.76,3.46,20.22,1,0,3,1,-4.834891342108308,22.93489134210831
14.3,8,360,245,3.21,3.57,15.84,0,0,3,4,0.9170675879106035,13.382932412089398
24.4,4,146.7,62,3.69,3.19,20,1,0,4,2,-1.4687072991855485,25.868707299185548
22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,-0.8171741228239447,23.617174122823947
19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4,-2.5067823368201636,21.70678233682016
17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4,-3.906782336820162,21.70678233682016
16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3,-1.4177704867410355,17.817770486741033
17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3,-0.5177704867410332,17.817770486741033
15.2,8,275.8,180,3.07,3.78,18,0,0,3,3,-2.6177704867410347,17.817770486741033
10.4,8,472,205,2.93,5.25,17.98,0,0,3,4,-5.712063534951943,16.112063534951943
10.4,8,460,215,3,5.424,17.82,0,0,3,4,-5.029780754236307,15.429780754236308
14.7,8,440,230,3.23,5.345,17.42,0,0,3,4,0.2936434168371475,14.406356583162852
32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,6.8042058131007055,25.595794186899294
30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2,3.8490099200988155,26.550990079901183
33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1,8.235977535029143,25.664022464970856
21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1,-1.9807175666808183,23.48071756668082
15.5,8,318,150,2.76,3.52,16.87,0,0,3,2,-4.364618828887944,19.864618828887945
15.2,8,304,150,3.15,3.435,17.3,0,0,3,2,-4.664618828887945,19.864618828887945
13.3,8,350,245,3.73,3.84,15.41,0,0,3,4,-0.08293241208939651,13.382932412089398
19.2,8,400,175,3.08,3.845,17.05,0,0,3,2,1.0410881229011468,18.158911877098852
27.3,4,79,66,4.08,1.935,18.9,1,1,4,1,1.7042058131007076,25.595794186899294
26,4,120.3,91,4.43,2.14,16.7,0,1,5,2,2.109912764889799,23.8900872351102
30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2,8.010934882464197,22.3890651175358
15.8,8,351,264,4.22,3.17,14.5,0,1,5,4,3.713404871270313,12.086595128729687
19.7,6,145,175,3.62,2.77,15.5,0,1,5,6,1.5410881229011466,18.158911877098852
15,8,301,335,3.54,3.57,14.6,0,1,5,8,7.757612614351333,7.242387385648667
21.4,4,121,109,4.11,2.78,18.6,1,1,4,2,-1.2619782298220557,22.661978229822054
