id,ifront,iback,power,lambda
1,12,70,-38.29999924,1579.099976
2,13,70,-38.09999847,1579.099976
3,15,70,-36.5,1579.099976
4,19,70,-35.09999847,1579
5,20,70,-35.09999847,1577.800049
6,20,70,-35.09999847,1578.099976
7,26,70,-34.20000076,1578
8,30,70,-32.59999847,1578
9,13,60,-40.90000153,1578.800049
10,14,60,-39.79999924,1578.900024
11,19,60,-37,1578.800049
12,21,60,-36.09999847,1577.800049
13,24,60,-35.40000153,1577.900024
14,40,60,-35.40000153,1577.900024
15,15,50,-45.70000076,1578.599976
16,20,50,-40.40000153,1578.599976
17,21,50,-37.40000153,1577.699951
18,25,50,-36,1577.800049
19,30,50,-34.09999847,1577.800049
20,40,50,-31.20000076,1577.800049
21,50,50,-29.5,1577.699951
22,22,40,-40.29999924,1577.5
23,24,40,-39.5,1577.599976
24,31,40,-36.09999847,1577.599976
25,48,40,-30.89999962,1577.599976
26,55,40,-29.70000076,1577.599976
27,56,40,-29.5,1577.599976
28,57,40,-29.89999962,1575.699951
29,57,40,-29.89999962,1577.199951
30,60,40,-29.5,1575.699951
31,60,40,-29.5,1577.199951
32,27,30,-46.20000076,1577.400024
33,32,30,-41,1577.400024
34,37,30,-38.20000076,1577.300049
35,41,30,-36.20000076,1577.300049
36,46,30,-33.90000153,1577.300049
37,47,30,-34.09999847,1575.400024
38,49,30,-34.29999924,1575.5
39,52,30,-35.09999847,1575.599976
40,54,30,-35.5,1575.599976
41,56,30,-36,1575.5
42,59,30,-36.20000076,1575.5
43,60,30,-35.59999847,1575.5
44,60,30,-35.59999847,1577.099976
45,61,30,-34.5,1575.5
46,61,30,-34.5,1577.099976
47,64,30,-33.5,1575.599976
48,64,30,-33.5,1577.199951
49,68,30,-31.70000076,1575.699951
50,68,30,-31.70000076,1577.400024
51,70,30,-31.10000038,1575.699951
52,70,30,-31.10000038,1577.400024
53,52,20,-44.5,1575.199951
54,53,20,-42.59999847,1575.199951
55,54,20,-38.5,1576.900024
56,55,20,-36.59999847,1577
57,56,20,-35.20000076,1577.099976
58,58,20,-33.90000153,1577.199951
59,64,20,-31.79999924,1577.300049
60,67,20,-31,1577.400024
61,70,20,-30,1577.5
62,74,20,-29.79999924,1577.599976
63,78,20,-29.39999962,1577.699951
64,85,20,-28.70000076,1577.800049
