Width,Height,Count
390,670,8691
393,666,4800
375,635,4618
390,664,2503
393,660,2318
414,721,2130
375,641,1890
428,752,1692
375,559,1643
375,629,1393
430,746,1231
412,783,824
390,663,766
393,722,577
414,715,565
390,669,543
396,727,540
412,784,528
412,771,523
1920,937,512
412,786,504
360,649,469
750,346,456
390,666,443
393,659,441
414,725,441
414,789,429
414,787,428
412,770,422
428,746,417
390,665,404
375,548,374
375,630,367
414,790,360
412,760,354
360,560,354
1194,766,333
430,740,322
390,661,320
375,634,319
1920,961,301
375,631,296
360,682,285
393,736,285
360,512,267
408,764,266
432,784,254
390,662,250
360,667,249
360,670,236
393,662,232
750,307,224
414,785,223
1728,1000,222
2560,1289,222
393,698,221
1920,929,219
1920,944,214
414,719,212
360,648,212
768,960,209
393,737,208
384,726,204
1920,947,203
384,723,201
375,628,199
724,292,195
734,349,193
375,633,192
384,713,190
375,632,190
393,780,186
1920,919,185
378,711,184
375,626,184
1536,827,183
320,460,180
393,658,178
2560,1287,175
1366,956,175
428,748,173
393,732,170
384,754,170
485,921,170
414,714,169
360,643,165
375,644,165
375,627,163
712,331,160
712,292,160
1800,1006,159
360,617,158
1680,914,158
820,1112,158
1412,767,157
414,699,156
1512,833,154
378,707,153
2560,1297,151
1728,994,150
393,473,150
1512,865,148
360,672,147
360,690,146
412,761,146
1440,796,144
1920,927,143
432,820,142
412,807,140
360,612,140
1112,731,139
375,636,139
320,533,138
360,592,137
360,699,135
375,448,134
834,1120,134
1440,821,134
1080,707,134
360,718,134
412,652,132
428,751,131
734,310,130
320,449,130
390,469,130
412,750,128
360,666,127
834,1126,127
1512,834,127
1920,968,126
360,676,126
414,717,126
424,804,123
393,686,123
225,377,123
399,758,122
1536,1014,122
375,524,122
1439,717,122
1280,609,122
1394,838,122
375,637,122
1024,704,121
412,756,121
414,761,120
1112,770,119
384,674,119
412,829,117
414,503,116
414,712,112
396,703,110
393,741,110
430,742,109
834,1048,109
360,665,109
375,625,109
393,719,109
393,663,109
800,331,109
390,656,105
414,718,104
1080,735,104
412,762,104
1920,955,103
375,621,103
1512,864,102
396,758,102
2560,1304,101
360,662,101
360,647,101
432,838,100
412,742,100
2560,1307,100
1920,970,99
432,844,99
2560,1302,99
1420,855,99
432,732,98
360,640,96
1496,822,96
820,1108,96
384,675,96
1080,746,95
393,651,95
1366,768,95
360,691,95
412,735,94
412,774,93
384,854,92
393,772,92
641,758,92
396,774,92
2560,969,92
1536,864,92
1470,796,92
424,841,92
412,740,92
360,716,92
640,280,92
412,699,92
1266,673,92
412,780,92
378,758,92
1440,815,92
1920,941,92
1440,763,92
414,720,90
430,738,90
412,818,89
2560,1321,87
408,760,86
384,679,86
412,746,85
393,720,85
485,967,82
384,384,82
360,689,82
390,648,82
412,838,82
360,732,82
384,718,82
908,480,82
1194,727,82
414,896,81
393,657,81
375,496,81
320,276,81
396,773,81
375,687,81
412,797,81
375,707,81
393,652,80
810,1005,79
320,528,79
360,700,79
1536,824,78
360,706,78
1536,731,78
447,758,78
430,741,78
424,808,78
414,766,78
1910,831,78
412,789,78
375,680,78
1439,945,78
485,920,77
1024,890,76
851,304,76
375,545,76
1920,1080,75
375,549,75
412,839,75
834,1087,74
374,700,74
375,543,73
712,325,73
360,694,73
1920,942,73
414,628,72
1792,982,72
375,547,72
1920,969,71
724,325,70
375,555,70
427,804,70
353,649,70
360,619,70
384,775,69
414,823,69
654,610,69
598,620,69
1920,978,69
1833,1276,69
360,568,69
393,561,69
377,698,69
320,284,69
1280,566,69
414,764,69
412,810,69
428,747,69
486,924,69
432,841,69
360,651,69
500,847,69
1920,963,69
810,1016,69
393,768,67
360,518,67
808,287,67
441,376,66
1180,752,66
1280,1304,65
1368,1045,65
1728,944,65
2144,1081,65
445,862,65
1660,1005,65
1279,795,65
1325,1335,65
2560,1278,65
832,338,65
360,654,65
414,782,65
408,797,65
390,672,65
1440,789,65
810,1010,65
430,739,65
808,370,65
1920,1075,65
360,674,65
358,670,65
1920,952,64
1536,714,64
1440,701,64
430,745,64
360,704,64
1920,980,64
1690,1049,64
1920,1008,64
390,513,64
414,837,64
1280,960,64
1536,711,64
393,661,64
412,815,64
1920,976,64
1162,1001,64
412,790,63
856,305,63
1512,831,63
393,628,62
428,745,62
396,742,62
393,650,62
1366,625,62
393,742,62
412,782,62
393,655,62
952,952,62
1507,927,61
1429,1006,61
1740,847,61
1885,940,61
1504,749,61
1280,800,61
1993,809,61
1353,1154,61
608,1064,61
1470,809,61
412,687,61
1440,945,61
738,369,61
873,1237,61
432,811,61
1685,994,61
2240,1086,61
1536,792,61
567,850,61
2240,1114,61
1325,944,61
1504,1587,61
1243,662,61
1133,642,61
1278,1354,61
314,678,61
1718,1198,61
1266,739,61
1910,1959,61
390,557,61
809,649,61
360,615,61
1351,799,61
1654,1336,61
1108,1391,61
414,754,61
576,1095,61
3840,1464,61
515,981,61
960,935,61
1536,1642,61
375,678,61
1920,1984,61
501,956,61
1296,839,61
598,1064,61
747,321,61
2048,1031,61
1399,1037,61
320,332,61
326,482,61
1905,1054,61
393,710,61
408,763,61
504,998,61
414,695,61
980,1795,61
3440,1430,61
1512,786,61
1706,1315,61
2160,1564,61
432,873,61
1188,728,61
432,858,61
1222,754,61
1536,835,61
551,720,61
1728,878,61
2053,1336,61
393,851,61
955,992,61
1366,897,61
1976,1304,61
1285,707,61
980,1840,61
1549,968,61
360,622,61
874,991,61
1194,704,61
600,832,61
1918,973,61
1805,1058,61
1341,833,61
1158,1193,61
1189,740,61
375,704,61
1920,1003,61
468,874,61
384,771,61
412,840,61
2540,1335,61
1371,1064,61
390,753,61
1630,1035,61
1512,785,61
1492,848,61
1316,751,61
1492,777,61
1680,965,61
1921,1500,61
1880,961,61
320,529,61
320,520,61
958,952,61
964,603,61
396,713,61
1168,601,61
1222,1097,61
1440,814,61
1187,966,61
1194,871,61
1879,926,61
1494,1323,61
3440,1343,61
425,876,61
375,440,61
317,603,61
980,1791,61
1823,845,61
730,327,61
360,652,61
2400,1237,61
408,792,61
412,688,61
384,806,61
360,728,61
1000,600,61
414,799,61
320,578,61
1720,1391,61
980,1824,61
738,1496,61
2560,1312,61
450,834,61
393,778,61
1748,1017,61
1052,568,61
1920,966,61
1737,905,61
375,741,61
412,361,61
1194,1056,61
1680,940,61
1173,1065,61
1492,743,61
1745,1815,61
800,1144,61
2008,1240,61
412,808,61
1818,1266,61
2294,1302,61
980,1710,61
1676,826,61
1280,823,61
1920,938,61
1894,1005,61
1512,806,61
1323,669,61
320,568,61
807,1182,61
899,869,61
1536,793,61
412,882,61
952,866,61
1202,855,61
820,1061,61
1707,948,61
1080,832,61
1503,1329,61
500,1279,61
1680,907,61
1304,665,61
360,761,61
375,608,61
1504,1630,61
1505,901,61
1184,687,61
378,738,61
1904,928,61
1778,1028,61
1366,604,61
1061,686,61
450,1013,61
1371,732,61
1314,1187,61
1440,750,61
378,692,61
341,639,61
1710,897,61
1152,851,61
1680,879,61
1920,972,61
843,356,61
882,851,61
1105,788,61
1256,856,61
1302,840,61
1512,788,61
1373,1291,61
450,913,61
2518,1241,61
1077,843,61
1534,667,61
1292,762,61
1681,754,61
1012,1363,61
975,935,61
424,763,61
1536,721,61
360,711,61
1440,850,61
1366,945,61
1000,1000,61
1324,888,61
1558,1031,61
378,658,61
432,869,61
1280,567,61
360,522,61
2054,1017,61
629,676,61
1050,1907,61
1245,1328,61
1434,1037,61
1371,1028,61
844,1059,61
3360,1814,61
450,1659,61
1504,1133,61
1407,726,61
1411,985,61
408,712,61
396,785,61
1561,1021,61
414,821,61
1187,855,61
1624,973,61
1858,1009,61
1280,900,61
1636,1035,61
1881,884,61
331,656,61
396,779,61
1728,958,61
1077,769,61
1540,736,61
349,638,61
1640,920,61
768,999,61
1916,1475,61
1208,1359,61
450,300,61
412,803,61
767,299,61
1280,720,61
1260,1395,61
414,736,61
313,580,61
560,702,61
891,677,61
424,283,61
1312,1134,61
1690,1276,61
1920,1464,61
750,340,61
412,698,61
412,732,61
648,1058,61
412,816,61
485,922,61
412,766,61
377,594,61
1920,862,61
1920,2032,61
2145,1205,61
800,937,61
412,837,61
779,304,61
1280,784,61
3626,2039,61
768,912,61
1441,953,61
1646,360,61
375,640,61
723,280,60
7031,2060,60
3440,1336,60
814,340,60
3710,1464,60
1451,296,59
486,942,59
393,654,59
1440,820,59
724,331,59
360,745,59
396,681,58
393,665,58
384,693,57
2076,1306,57
414,793,56
2560,1335,56
1920,967,56
384,741,55
800,370,55
414,775,55
412,718,54
375,563,53
393,752,52
414,656,52
1566,1092,52
393,676,51
378,702,51
1728,968,51
832,384,50
375,648,49
412,743,48
1188,734,48
896,953,48
408,726,48
1920,975,48
1133,676,48
1439,973,48
768,1024,48
1440,768,48
1920,1093,48
441,747,48
1920,1090,48
375,499,48
1324,816,48
843,301,47
2140,1280,47
393,517,47
384,725,47
375,552,47
393,792,47
412,753,47
384,740,46
384,722,45
414,786,45
412,826,45
2560,1336,44
1920,977,43
360,646,43
424,822,43
1920,898,43
1792,1010,43
412,781,43
375,712,42
360,660,42
1800,1045,42
375,653,42
744,1026,42
384,727,42
396,715,42
414,763,41
393,779,41
424,829,39
1920,899,39
412,721,39
1910,947,39
1140,379,39
393,715,39
1045,832,39
360,668,39
1366,914,39
1512,759,39
1728,976,39
1280,775,39
414,728,39
796,480,38
2560,1330,38
1440,714,38
1279,970,38
412,827,38
1536,739,38
353,640,37
1792,1015,37
390,844,36
1440,790,36
980,1847,35
432,736,35
360,801,35
744,1061,35
412,695,35
1440,800,35
1324,731,35
360,614,35
424,779,35
750,342,35
1440,795,35
414,758,35
393,671,35
1728,966,35
388,744,35
360,712,35
423,795,35
412,723,34
393,674,34
432,816,34
384,729,34
430,748,34
1720,1252,34
400,737,34
2502,1326,34
361,710,34
360,634,34
545,1015,34
937,1015,34
1536,850,34
1916,976,34
430,735,34
360,702,34
360,603,34
414,726,34
412,842,34
1708,1059,34
375,746,34
1512,945,34
384,700,34
320,622,34
850,304,33
864,304,33
3200,1584,33
1523,895,32
907,896,32
375,682,31
1501,1261,31
390,681,31
2077,1306,31
1485,929,31
1763,929,31
320,262,31
866,264,31
1512,781,31
360,756,31
360,520,31
723,288,31
360,598,31
2011,1262,31
280,653,31
345,779,31
775,256,31
384,717,31
414,607,31
333,619,31
1830,975,31
810,1012,31
360,571,31
1157,839,31
1920,1011,31
1536,778,31
578,976,31
1686,995,31
390,657,31
2785,1720,31
1648,818,31
458,886,31
1712,1242,31
1390,760,31
712,358,31
384,796,31
592,755,31
1920,991,31
1920,926,31
802,328,31
1772,1304,31
1272,896,31
1619,970,31
393,750,31
375,783,31
341,606,31
750,1113,31
412,751,31
980,1867,31
1280,501,31
1439,790,31
2195,1221,31
1728,938,31
1454,885,31
1326,594,31
565,1064,31
412,643,31
2014,1201,31
412,796,31
568,228,31
375,666,31
3084,1381,31
1240,868,31
1551,1107,31
2336,1314,31
947,790,31
1536,749,31
1920,1012,31
1512,867,31
1714,1155,31
320,480,31
1748,1363,31
342,595,31
754,309,31
1440,2449,31
1140,369,31
2560,1333,31
486,914,31
1270,816,31
320,452,31
